"","TotalG","Taxon","Scenario","Nutrients"
"1",0.06706,"japon","low","low"
"3",0.06108,"japon","low","low"
"26",0.06082,"japon","high","high"
"30",0.06674,"japon","high","high"
"31",0.06318,"japon","high","high"
"35",0.06131,"japon","high","high"
"38",0.06471,"bohem","high","high"
"39",0.06106,"bohem","high","high"
"41",0.0642,"bohem","high","high"
"43",0.06855,"bohem","high","high"
"47",0.0666,"bohem","high","high"
"48",0.07482,"bohem","high","high"
"52",0.06606,"japon","gradual","high"
"53",0.06701,"japon","gradual","high"
"54",0.07041,"japon","gradual","high"
"56",0.06343,"japon","gradual","high"
"57",0.07705,"japon","gradual","high"
"59",0.06179,"japon","gradual","high"
"67",0.06256,"bohem","gradual","high"
"69",0.06954,"bohem","gradual","high"
"70",0.07591,"bohem","gradual","high"
"72",0.06497,"bohem","gradual","high"
"73",0.06071,"bohem","gradual","high"
"76",0.06744,"japon","extreme","high"
"78",0.07774,"japon","extreme","high"
"79",0.06568,"japon","extreme","high"
"85",0.07107,"japon","extreme","high"
"88",0.0677,"bohem","extreme","high"
"90",0.06086,"bohem","extreme","high"
"91",0.06219,"bohem","extreme","high"
"92",0.06553,"bohem","extreme","high"
"94",0.06089,"bohem","extreme","high"
"96",0.06037,"bohem","extreme","high"
"97",0.06786,"bohem","extreme","high"
"102",0.069,"japon","fluctuations","high"
"103",0.0654,"japon","fluctuations","high"
"105",0.06308,"japon","fluctuations","high"
"106",0.06093,"japon","fluctuations","high"
"109",0.06873,"japon","fluctuations","high"
"111",0.06988,"japon","fluctuations","high"
"112",0.06948,"japon","fluctuations","high"
"118",0.0668,"bohem","fluctuations","high"
"121",0.06296,"bohem","fluctuations","high"
"122",0.0788,"bohem","fluctuations","high"
"123",0.06425,"bohem","fluctuations","high"
